objectID,clip_scores_score_set_1_masterpiece,clip_scores_score_set_2_quality,clip_scores_score_set_3_influence,clip_scores_mean_value_score,openclip_l14_scores_score_set_1_masterpiece,openclip_l14_scores_score_set_2_quality,openclip_l14_scores_score_set_3_influence,openclip_l14_scores_mean_value_score,openclip_scores_score_set_1_masterpiece,openclip_scores_score_set_2_quality,openclip_scores_score_set_3_influence,openclip_scores_mean_value_score,siglip_scores_score_set_1_masterpiece,siglip_scores_score_set_2_quality,siglip_scores_score_set_3_influence,siglip_scores_mean_value_score,z_clip_scores_mean_value_score,z_openclip_l14_scores_mean_value_score,z_openclip_scores_mean_value_score,z_siglip_scores_mean_value_score,cross_model_mean_raw,cross_model_mean,cross_model_sd,prompt_sd,model_rank_disagreement,risk_score,title,department,classification,culture,medium,artistDisplayName,inferred_gender,century,medium_category
314523,-0.0002088041364913,0.0017658206634223,-0.6936749219894409,-0.1726374531826877,-0.0001782803738024,0.0008789165876805,-0.9973106980323792,-0.2491005451665842,-8.909182724892162e-07,0.0005949959740974,-0.0936822593212127,-0.0287232092939575,8.896857261657715,-4.397052764892578,0.8361225128173828,0.7822587490081787,-1.0495218679061635,-1.002959472426806,0.4159326873030995,1.667436313989446,0.08294938534123733,0.007721915239893962,1.2987852278471472,3.0093671216644164,0.42419512691937183,4.7323474764309355,Cylindrical Vessel,The Michael C. Rockefeller Wing,Ceramics-Containers,Maya,"Ceramic, slip",,unknown,1th c. BCE,other
464251,-0.0051633296534419,0.0314909443259239,-0.5096483826637268,-0.1147465684916824,0.0058416374959051,0.3228651881217956,-0.3152612745761871,0.0765420334646478,0.0029145826119929,0.6163085103034973,-0.00871142745018,0.2406089914147742,3.384876251220703,-6.636960029602051,-3.541757583618164,-2.187088966369629,-0.3184910180241813,0.7664759488665581,3.3146164714298187,-0.9238302268420313,-0.4961711274954723,0.709692793857541,1.872112096255683,2.434715911238273,0.3588681492205987,4.665696156714555,Diptych with Scenes from the Lives of Jesus and Mary,Medieval Art,Ivories-Elephant,French,Elephant ivory with metal mounts,,unknown,14th c. CE,other
468339,-0.0037530297413468,0.0349095463752746,-0.6396995186805725,-0.1450926039833575,0.0093156704679131,0.362741082906723,-0.2052818685770034,0.1220431069377809,0.0011653555557131,0.5202814340591431,-0.0516005828976631,0.1897203221451491,2.6974639892578125,-6.491504669189453,-4.7683610916137695,-2.225990056991577,-0.701692764455167,1.013713922010749,2.7669279291037037,-0.9577781184979878,-0.5148298079730012,0.5302927420403245,1.7290051254456729,2.4668947931062566,0.3870151826331935,4.582915101185123,Diptych with Scenes from the Passion of Jesus,Medieval Art,Ivories-Elephant,French,Elephant ivory with metal mounts,,unknown,14th c. CE,other
327483,-0.0027381917461752,0.028058972209692,-0.1186261922121048,-0.0165404786821454,-0.0060026948340237,0.0145935760810971,-0.8358312845230103,-0.2352125075412914,-0.0002003933768719,0.0015030484646558,-0.0233041327446699,-0.0648383914376609,5.191648483276367,-8.366540908813477,-4.220634460449219,-2.868838310241699,0.9216296275704201,-0.9274964116386881,0.02724357933435458,-1.5187737744974916,-0.7963574219756993,-0.37434924480785126,1.0733929579269816,3.15777004004808,0.31487080945439705,4.546033807429459,Votive plaque inscribed with Sabaean dedication,Ancient West Asian Art,,,Copper alloy,,unknown,3th c. BCE,other
53408,-0.0016302677104249,-0.0044974712654948,-0.3178396821022033,-0.0818423108721617,0.4188671708106994,0.077363796532154,0.0237702578306198,0.0749195162206888,0.0224351491779088,0.6324504017829895,-0.0292168334126472,0.2855404647998512,4.107536315917969,-6.431432723999023,-0.9105281829833984,-1.6659812927246094,0.09701528388713253,0.7576597200576974,3.7981907820971634,-0.46907416311338246,-0.3468409056440578,1.0459479057321528,1.9020792060612766,2.321119166461104,0.28784227469944973,4.51104064722183,White Plum Blossoms and Moon,Asian Art,Paintings,Japan,Hanging scroll; ink and color on silk,Itō Jakuchū,unknown,18th c. CE,drawing_paper
324923,-0.0540449172258377,0.2225581258535385,-0.0982474833726883,0.062323410063982,-0.0027024759911,0.4188755750656128,0.0012758714146912,0.1716888330411166,-6.0193968238309026e-05,0.0365339517593383,-0.0022898688912391,-0.2036333011419628,5.178586959838867,-6.5631208419799805,-1.6354246139526367,-1.3636651039123535,1.917502050712663,1.283472583953262,-1.4665345616398928,-0.20525129697888672,-0.33332154048730445,0.3822971940117863,1.520127530334831,2.5634816110838696,0.40631871163615113,4.489927853054852,Chair back carved in relief,Ancient West Asian Art,,Assyrian,Ivory,,unknown,8th c. BCE,other
310073,-0.0007153347833082,0.0036555170081555,-0.527302622795105,-0.1305707709107082,-0.0005366675322875,0.0841683819890022,-0.640620768070221,-0.1649467075185384,5.845321720698848e-05,0.0004193437343928,-0.0082100694999098,-0.004392016080601,5.874288558959961,-8.40758228302002,-3.218944549560547,-3.0058274269104004,-0.5183148798433515,-0.5456950022886802,0.6777967905570705,-1.6383203377522095,-0.826434230355062,-0.5061333573317927,0.946088696855998,3.1959009506385754,0.33543920914341857,4.477428856637991,Grere'o (shield),The Michael C. Rockefeller Wing,Textiles-Non-Woven,Solomon Islands,"Fiber, parinarium-nut paste, chambered-nautilus shell, pigment",Solomon Islands artist,male,18th c. CE,other
324138,-0.0001578536612214,0.0035599749535322,-0.8392602205276489,-0.2080815039989829,-8.07456217444269e-06,6.608519470319152e-05,-0.9996575713157654,-0.2499248679748689,1.4604606803914066e-06,0.000150624429807,-0.2922617495059967,-0.0760017528879188,9.182296752929688,-6.182219505310059,-1.837873458862305,-0.9326870441436768,-1.4971000096083629,-1.0074385733530111,-0.09290193140315459,0.17085117843260153,-0.3666737922513619,-0.6066473339829818,0.7793112045399488,3.4061926571227663,0.28832140836965336,4.473825270032369,Bowl with radial design of ibex horns,Ancient West Asian Art,,Iran,"Ceramic, paint",,unknown,46th c. BCE,other
37904,-0.0045493282377719,0.0173169448971748,-0.3255746960639953,-0.0777529529295861,-0.2071702480316162,0.0194675289094448,0.02357954159379,-0.2018700391054153,0.0001439155312255,0.0003216823097318,-0.0060843671672046,-0.2431208238995168,5.849170684814453,-9.31690502166748,0.6687068939208984,-2.8653953075408936,0.1486546193056351,-0.7463243274113195,-1.8915184350551661,-1.5157691625241663,-0.847034780868853,-1.0012393264212542,0.9026951472580452,3.3127508692623113,0.2568777861727141,4.4723238026930705,Krishna Steals the Gopis’ Clothing: Page from a Dispersed Bhagavata Purana Manuscript,Asian Art,Paintings,"India (Rajasthan, Mewar)",Ink and opaque watercolor on paper,,unknown,17th c. CE,drawing_paper
314522,-0.0002195059205405,0.0018628921825438,-0.7940021753311157,-0.1977027088723844,-0.0004834567662328,0.0006839090492576,-0.9961419701576232,-0.2492168979806592,-1.177821286546532e-05,0.000465582270408,-0.052354659885168,-0.022402994242384,7.571794509887695,-0.9470748901367188,0.6357936859130859,1.5504002571105957,-1.3660393173656145,-1.003591695619046,0.48395390732053867,2.3377718823909954,0.270269414003792,0.11302369418171843,1.685383343617217,2.2924862441240283,0.47749327918944084,4.455362866930686,Tetrapod Jar,The Michael C. Rockefeller Wing,Ceramics-Containers,Maya,Ceramic,,unknown,2th c. BCE,other
53241,-0.0351767539978027,0.2596533894538879,-0.0237864200025796,0.0878361775539815,0.0958951488137245,0.1100089028477668,0.4902739524841308,0.1567061990499496,0.0056862141937017,0.0068757738918066,0.0154724614694714,-0.177512272959575,6.6459197998046875,-0.7117900848388672,3.725032806396485,2.529299259185791,2.23967056136169,1.2020618439951234,-1.1854073862863301,3.192029609700655,0.6490823407075368,1.3620886571927846,1.8827443232928254,2.1223222700229214,0.4134521035408046,4.418518696856552,Willows and Bridge,Asian Art,Paintings,Japan,"Pair of six-panel folding screens; ink, color, copper, gold, and gold leaf on paper",,unknown,16th c. CE,painting
324747,-0.0006265430711209,0.006928423885256,-0.7876515984535217,-0.1937005022773519,-2.950430462078657e-05,2.064171712845564e-05,-0.99909508228302,-0.249978493754952,-1.5716062762294314e-06,0.0001415682054357,-0.3541096448898315,-0.0915323486077284,3.82427978515625,-9.63864040374756,-5.580697059631348,-3.80390739440918,-1.315500506217951,-1.0077299583284416,-0.26004973568491874,-2.334782360700011,-1.084779684762303,-1.2295156402328304,0.859856761197168,3.3731938979944838,0.17786437594018276,4.4109150351318345,Plaque fragment,Ancient West Asian Art,,Assyrian,Ivory,,unknown,8th c. BCE,other
325669,-0.0034112446010112,0.0494521744549274,-0.294830322265625,-0.0503712361678481,-0.0159319825470447,0.358049988746643,-0.1972004324197769,0.1137652462348342,0.0003330414474476,0.03772609308362,-0.0605666227638721,-0.0647218673184397,3.682056427001953,-8.170950889587402,-3.677600860595703,-3.289433717727661,0.49442372928558914,0.9687347304016773,0.02849766842566024,-1.8858156002161353,-0.8226903937447787,-0.09853986802580217,1.251821868947968,2.8344882598900294,0.30981571329858,4.396125842136577,Furniture plaque carved in relief with sphinx,Ancient West Asian Art,,Assyrian,Ivory,,unknown,9th c. BCE,other
24317,-0.0002489551843609,0.0007135543273761,-0.6457135677337646,-0.1614673769145156,-0.0006274494808167,0.0008284512441605,-0.9232335686683656,-0.2489534709602594,0.0001647847529966,0.0895399451255798,-0.091191217303276,-0.0984711814016918,8.991436004638672,-4.39814567565918,-1.984357833862305,0.1179838180541992,-0.9084690857427371,-1.0021603192223214,-0.3347288199076777,1.0877421968000842,-0.0977270528055669,-0.28940400701816305,0.9643390029164388,3.0943193613169155,0.3365889076443726,4.395247271877727,Sacrificial Sword (Kartrī or Churī),Arms and Armor,Knives,"Indian, Bengal (?) or Nepalese","Steel, brass, wood",,unknown,19th c. CE,other
