objectID,department,title,artistDisplayName,inferred_gender,century,medium_category,img_width,img_height,aspect_ratio,score_set_1_masterpiece,score_set_2_quality,score_set_3_influence,score_set_4_neutral_control,mean_value_score
310599,The Michael C. Rockefeller Wing,Fish hacha,Classic Veracruz artist(s),unknown,6th c. CE,other,595,625,0.95,-0.007584617473185062,0.0180254764854908,-0.7152267098426819,0.014744993299245834,-0.17251021438278258
308458,The Michael C. Rockefeller Wing,Spout-and-bridge bottle with fox,Topará artist(s),unknown,2th c. BCE,other,600,489,1.23,-0.0019454200519248843,0.016258927062153816,-0.7212235927581787,0.01558195985853672,-0.17283203147235326
662967,The Michael C. Rockefeller Wing,Vessel with mythological scene,Maya artist(s),female,6th c. CE,other,468,624,0.75,-0.0023799301125109196,0.05201124772429466,-0.7005126476287842,0.05062014237046242,-0.1500652969116345
312928,The Michael C. Rockefeller Wing,Neckless jar with complex scene,Paracas artist(s),unknown,4th c. BCE,other,468,624,0.75,-0.0032578525133430958,0.026192277669906616,-0.5703356862068176,0.0247789453715086,-0.13065557891968638
701288,The Michael C. Rockefeller Wing,Yäʿğğ mäsqäl (hand cross),Northern Highlands artist,unknown,17th c. CE,other,387,625,0.62,-7.388192170765251e-05,0.0007698548724874854,-0.8210127353668213,0.0006986980442889035,-0.20490451609293814
308532,The Michael C. Rockefeller Wing,Tuber-inspired stirrup-spout bottle,Moche artist(s),unknown,5th c. CE,other,468,624,0.75,-0.0005323753575794399,0.010242484509944916,-0.7276038527488708,0.009793538600206375,-0.17702505124907475
313256,The Michael C. Rockefeller Wing,Mirror-bearer,Maya artist(s),female,5th c. CE,other,454,624,0.73,-0.0006801064591854811,0.020778873935341835,-0.7601335644721985,0.01783127337694168,-0.1805508809047751
310568,The Michael C. Rockefeller Wing,Bottle with deity,Wari artist(s),unknown,7th c. CE,other,465,625,0.74,-0.001216794247739017,0.017962049692869186,-0.5122813582420349,0.016741357743740082,-0.11969868626329117
318345,The Michael C. Rockefeller Wing,Censer with seated king,Maya artist(s),female,3th c. CE,other,499,624,0.8,-0.00011354393063811585,0.0012934933183714747,-0.8183532357215881,0.001096045016311109,-0.20401931032938592
313267,The Michael C. Rockefeller Wing,Kero (beaker),Inca artist(s),unknown,14th c. CE,other,600,602,1.0,-0.00011940166587010026,0.00024338030198123306,-0.8768187761306763,0.00010090920841321349,-0.21914847207153798
310221,The Michael C. Rockefeller Wing,Gourd-shaped bottle,Topará artist(s),unknown,2th c. BCE,other,599,468,1.28,-0.0009110250975936651,0.004600323271006346,-0.7539664506912231,0.004334980621933937,-0.18648554297396913
316846,The Michael C. Rockefeller Wing,Kero (beaker),Peruvian artist(s),unknown,16th c. CE,other,540,625,0.86,-0.0001407111412845552,0.0018321741372346878,-0.8234110474586487,0.0017680572345852852,-0.20498788180702832
757089,The Michael C. Rockefeller Wing,Door board (jovo),,unknown,18th c. CE,other,334,623,0.54,-0.0023017588537186384,0.022018320858478546,-0.4409258961677551,0.017262006178498268,-0.10098683199612424
757056,The Michael C. Rockefeller Wing,Door board (jovo),,unknown,18th c. CE,other,334,623,0.54,-0.0017953456845134497,0.015990784391760826,-0.39053791761398315,0.011749150231480598,-0.0911483321688138
