objectID,department,title,artistDisplayName,inferred_gender,century,medium_category,img_width,img_height,aspect_ratio,score_set_1_masterpiece,score_set_2_quality,score_set_3_influence,score_set_4_neutral_control,mean_value_score
310607,The Michael C. Rockefeller Wing,"Vessel, Seated Deities",,unknown,5th c. CE,other,468,624,0.75,0.007661702577024698,0.052884697914123535,-0.24902565777301788,-0.28075462579727173,-0.11730847076978534
317830,The Michael C. Rockefeller Wing,Hand Cross (mäsqäl),,unknown,17th c. CE,other,387,623,0.62,-2.0471781681408174e-05,0.00010703798034228384,-0.04928983002901077,-0.003212065203115344,-0.01310383225836631
316709,The Michael C. Rockefeller Wing,Nose ornament,Vicús artist(s),unknown,1th c. BCE,other,600,453,1.32,-4.767912469105795e-05,0.0026657460257411003,-0.4365706741809845,-0.11358839273452759,-0.1368852500036155
313325,The Michael C. Rockefeller Wing,Ceremonial Handle (?),,unknown,6th c. CE,other,546,625,0.87,-5.1317663746885955e-05,8.92610041773878e-05,-0.12277673184871674,-0.006330254953354597,-0.03226726086541021
312599,The Michael C. Rockefeller Wing,Pedestal Bowl,,unknown,12th c. CE,other,599,583,1.03,-4.769040970131755e-06,0.0006161910714581609,-0.1073036640882492,-0.0527045801281929,-0.03984920554648852
307602,The Michael C. Rockefeller Wing,Prayer book with case (mahdar),Wäldä Maryam,unknown,18th c. CE,other,496,624,0.79,1.9902727217413485e-05,0.04254346340894699,-0.09506887942552567,-0.3483845591545105,-0.10022251811096794
315884,The Michael C. Rockefeller Wing,Lidded Vessel,,unknown,2th c. CE,other,600,462,1.3,-0.0005805457476526499,0.007736971601843834,-0.1818661242723465,-0.06180847808718681,-0.05912954412633553
309529,The Michael C. Rockefeller Wing,"Pendant Icon: St. George, Virgin and Child Enthroned",,unknown,17th c. CE,other,600,445,1.35,0.010191841050982475,0.03439336270093918,-0.19859211146831512,-0.3960373103618622,-0.1375110545195639
312581,The Michael C. Rockefeller Wing,House model,Nayarit artist(s),unknown,2th c. BCE,other,484,624,0.78,-0.00023612796212546527,0.0024573069531470537,-0.2301008254289627,-0.1294182389974594,-0.08932447135885013
319633,The Michael C. Rockefeller Wing,Cylindrical Vessel,,unknown,5th c. CE,other,468,624,0.75,2.602720087452326e-05,0.00486003328114748,-0.6260550618171692,-0.010234758257865906,-0.15785093989825327
312643,The Michael C. Rockefeller Wing,Yoke,,unknown,6th c. CE,other,599,410,1.46,-1.3759443390881643e-05,0.000715889735147357,-0.08034233748912811,-0.011711299419403076,-0.02283787665419368
309958,The Michael C. Rockefeller Wing,Bead,Moche artist(s),unknown,2th c. CE,other,600,596,1.01,-8.118431651382707e-06,0.00021579538588412106,-0.10679526627063751,-0.0096511859446764,-0.029059693815270293
314523,The Michael C. Rockefeller Wing,Cylindrical Vessel,,unknown,1th c. BCE,other,599,611,0.98,-8.909182724892162e-07,0.0005949959740974009,-0.09368225932121277,-0.021804682910442352,-0.028723209293957552
316304,The Michael C. Rockefeller Wing,Tripod Plate,,unknown,8th c. CE,other,508,625,0.81,-1.3388778370426735e-06,7.00086384313181e-05,-0.06903485953807831,-0.01844569854438305,-0.02185297208046677
314522,The Michael C. Rockefeller Wing,Tetrapod Jar,,unknown,2th c. BCE,other,600,584,1.03,-1.177821286546532e-05,0.0004655822704080492,-0.052354659885168076,-0.03771112114191055,-0.02240299424238401
314827,The Michael C. Rockefeller Wing,Tripod Bird Bowl,,unknown,2th c. CE,other,499,624,0.8,-0.0019877497106790543,0.00032620824640616775,-0.15449753403663635,-0.05512358248233795,-0.0528206644958118
316711,The Michael C. Rockefeller Wing,Vessel with Seated Lord,,unknown,6th c. CE,other,534,624,0.86,-0.0014364714734256268,0.001567134982906282,-0.03457033634185791,-0.08021992444992065,-0.028664899320574477
314518,The Michael C. Rockefeller Wing,Tetrapod Bowl,,unknown,1th c. CE,other,599,478,1.25,-0.00012979765597265214,0.00037841248558834195,-0.20072396099567413,-0.04387214779853821,-0.06108687349114916
314524,The Michael C. Rockefeller Wing,Cylindrical Vessel,,unknown,1th c. CE,other,444,625,0.71,-4.097268538316712e-05,0.0031264289282262325,-0.16070908308029175,-0.06011776998639107,-0.05443534920595994
316813,The Michael C. Rockefeller Wing,"Jar, Ritual Scenes",,unknown,7th c. CE,other,520,625,0.83,-0.0013988439459353685,0.010016952641308308,-0.06251394003629684,-0.19760462641716003,-0.06287511443952098
