objectID,department,title,artistDisplayName,inferred_gender,century,medium_category,img_width,img_height,aspect_ratio,score_set_1_masterpiece,score_set_2_quality,score_set_3_influence,score_set_4_neutral_control,mean_value_score
325348,Ancient West Asian Art,Horse frontlet carved in relief with a female figure flanked by lions,,unknown,9th c. BCE,other,437,625,0.7,6.033123016357422,-4.258754730224609,-0.9968967437744141,-3.215343475341797,-0.6094679832458496
814650,The American Wing,Vase (New World),Joseph S. Potter,male,19th c. CE,other,468,624,0.75,-0.7705116271972656,-1.8057231903076172,-2.0873336791992188,-3.0141334533691406,-1.9194254875183105
891658,Ancient West Asian Art,Brooch with Assyrian divine archer in a winged disc,,unknown,19th c. CE,other,599,450,1.33,0.7407217025756836,-2.8630828857421875,0.008838653564453125,1.754347801208496,-0.08979368209838867
788174,Arms and Armor,"Smith & Wesson .44 Double-Action Frontier Model Revolver decorated by Tiffany & Co. (serial no. 8401), with Case and Cleaning Rod",Smith & Wesson,unknown,19th c. CE,other,600,455,1.32,3.52667236328125,-5.965747833251953,-1.7747135162353516,-3.815919876098633,-2.007427215576172
324322,Ancient West Asian Art,Horse blinker carved in relief with a seated sphinx,,unknown,8th c. BCE,other,599,471,1.27,2.582906723022461,-0.08684444427490234,-3.878093719482422,2.9892358779907227,0.40180110931396484
20891,The American Wing,The Five Points,Unknown Artist,unknown,19th c. CE,painting,600,448,1.34,2.2271080017089844,-4.9394683837890625,-0.03603363037109375,-4.797536849975586,-1.8864827156066895
24182,Arms and Armor,Cuirass,,unknown,18th c. CE,other,600,600,1.0,6.50001335144043,-6.989484786987305,-3.8719778060913086,-3.6260976791381836,-1.9968867301940918
324941,Ancient West Asian Art,Incised furniture plaque with a kneeling bull,,unknown,9th c. BCE,other,599,465,1.29,5.566495895385742,-5.895750045776367,-3.487987518310547,-3.814159393310547,-1.9078502655029297
322619,Ancient West Asian Art,Relief panel,,unknown,9th c. BCE,other,400,624,0.64,6.614532470703125,-5.688071250915527,1.6082077026367188,-3.6715850830078125,-0.284229040145874
24316,Arms and Armor,Sacrificial Sword (Rāmdāo),,unknown,19th c. CE,other,599,337,1.78,8.457727432250977,-7.162385940551758,-3.6856155395507812,-5.288364410400391,-1.9196596145629883
325667,Ancient West Asian Art,Openwork plaque with a sphinx striding through a floral landscape,,unknown,9th c. BCE,other,468,624,0.75,3.6575965881347656,-7.479514122009277,-1.8419075012207031,-2.9009151458740234,-2.1411850452423096
814649,The American Wing,Vase (Old World),Joseph S. Potter,male,19th c. CE,other,468,624,0.75,-3.033048629760742,-4.134647369384766,-0.7083091735839844,-3.059690475463867,-2.73392391204834
10367,The American Wing,View of the Tunnel of the Harlem Railroad,Nicolino Calyo,male,19th c. CE,other,600,409,1.47,3.420511245727539,-3.690553665161133,3.0475425720214844,-5.002593994140625,-0.5562734603881836
1668,The American Wing,Watercolor,Eugene B. Cunningham,male,19th c. CE,drawing_paper,472,624,0.76,4.520127296447754,-1.1268606185913086,1.1609325408935547,-1.0792102813720703,0.8687472343444824
24318,Arms and Armor,Sacrificial Knife,,unknown,19th c. CE,other,351,624,0.56,10.099344253540039,-1.6326713562011719,-2.1297454833984375,-1.3378829956054688,1.2497611045837402
325665,Ancient West Asian Art,"Furniture plaque carved in relief with a striding, falcon-headed winged sphinx supported by two kneeling figures",,unknown,9th c. BCE,other,495,624,0.79,2.4779224395751953,-6.489752769470215,-1.3824119567871094,-2.306704521179199,-1.925236701965332
24317,Arms and Armor,Sacrificial Sword (Kartrī or Churī),,unknown,19th c. CE,other,351,624,0.56,8.991436004638672,-4.39814567565918,-1.9843578338623047,-2.1369972229003906,0.11798381805419922
325669,Ancient West Asian Art,Furniture plaque carved in relief with sphinx,,unknown,9th c. BCE,other,599,562,1.07,3.682056427001953,-8.170950889587402,-3.677600860595703,-4.991239547729492,-3.289433717727661
