objectID,title,department,classification,culture,medium,objectDate,objectBeginDate,objectEndDate,artistDisplayName,artistNationality,artistGender,artistBeginDate,artistEndDate,primaryImage,primaryImageSmall,tags,creditLine,isHighlight,source_harvest,inferred_gender,century,medium_category
313267,Kero (beaker),The Michael C. Rockefeller Wing,Wood-Containers,Inca,Wood,1400–1535 CE,1400,1535,Inca artist(s),,,,,https://images.metmuseum.org/CRDImages/ao/original/1979.206.1074.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/1979.206.1074.jpg,,"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller, 1979",False,results_harvest_17_departments/met_metadata.csv,unknown,15th c. CE,other
310221,Gourd-shaped bottle,The Michael C. Rockefeller Wing,Ceramics-Containers,Topará,"Ceramic, slip",200 BCE–100 CE,-200,100,Topará artist(s),,,,,https://images.metmuseum.org/CRDImages/ao/original/DP-23890-002.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-23890-002.jpg,,"Gift of Nathan Cummings, 1976",False,results_harvest_17_departments/met_metadata.csv,unknown,3th c. BCE,other
316846,Kero (beaker),The Michael C. Rockefeller Wing,Wood-Containers,Quechua,"Wood, tin, pigment, resin",Early 17th century,1600,1650,Peruvian artist(s),,,,,https://images.metmuseum.org/CRDImages/ao/original/DP-24246-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-24246-001.jpg,,"Bequest of Arthur M. Bullowa, 1993",False,results_harvest_17_departments/met_metadata.csv,unknown,17th c. CE,other
308565,Stirrup-spout bottle with mountain sacrifice scene,The Michael C. Rockefeller Wing,Ceramics-Containers,Moche,"Ceramic, slip",500–800 CE,500,800,Moche artist,,,,,https://images.metmuseum.org/CRDImages/ao/original/DP-25548-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-25548-001.jpg,Animals;Men,"Gift of Mr. and Mrs. Nathan Cummings, 1964",False,results_harvest_17_departments/met_metadata.csv,unknown,6th c. CE,other
316847,Kero (beaker),The Michael C. Rockefeller Wing,Wood-Containers,Quechua,"Wood, tin, pigment, resin",Early 17th century,1600,1700,Peruvian artist(s),,,,,https://images.metmuseum.org/CRDImages/ao/original/1994.35.19_a.JPG,https://images.metmuseum.org/CRDImages/ao/web-large/1994.35.19_a.JPG,,"Bequest of Arthur M. Bullowa, 1993",False,results_harvest_17_departments/met_metadata.csv,unknown,17th c. CE,other
310542,Whistling vessel,The Michael C. Rockefeller Wing,Ceramics-Containers,Maya,Ceramic,400–500 CE,400,500,Maya artist(s),,,,,https://images.metmuseum.org/CRDImages/ao/original/DP-23468-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-23468-001.jpg,Birds;Men;Mythical Creatures,"The Michael C. Rockefeller Memorial Collection, Gift of Nelson A. Rockefeller, 1963",True,results_harvest_17_departments/met_metadata.csv,female,5th c. CE,other
316274,Plate with trumpeter,The Michael C. Rockefeller Wing,Ceramics-Containers,Maya,"Ceramic, slip",700–800 CE,700,800,Maya artist(s),,,,,https://images.metmuseum.org/CRDImages/ao/original/DP-24261-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-24261-001.jpg,Men;Trumpets;Musicians,"Gift of Eugene and Ina Schnell, 1989",False,results_harvest_17_departments/met_metadata.csv,female,8th c. CE,other
314217,Vessel with mythological scene,The Michael C. Rockefeller Wing,Ceramics-Containers,Maya,"Ceramic, slip",600–800 CE,600,800,Metropolitan Painter,,,600.0,800.0,https://images.metmuseum.org/CRDImages/ao/original/DP-571-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-571-001.jpg,,"Purchase, The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller and Gifts of Nelson A. Rockefeller, Nathan Cummings, S.L.M. Barlow, Meredith Howland, and Captain Henry Erben, by exchange; and funds from various donors, 1980",False,results_harvest_17_departments/met_metadata.csv,unknown,7th c. CE,other
313289,Hand with beaker,The Michael C. Rockefeller Wing,Ceramics-Containers,Inca,"Ceramic, slip",1400–1535 CE,1400,1535,Inca artist(s),,,,,https://images.metmuseum.org/CRDImages/ao/original/DP-33254-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-33254-001.jpg,Hands,"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller, 1979",False,results_harvest_17_departments/met_metadata.csv,unknown,15th c. CE,other
318662,Vessel with throne scene,The Michael C. Rockefeller Wing,Ceramics-Containers,Maya,"Ceramic, slip",600–900 CE,600,900,Chamá artist(s),,,,,https://images.metmuseum.org/CRDImages/ao/original/DT4514.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DT4514.jpg,Men;Thrones,"Gift of Charles and Valerie Diker, 1999",False,results_harvest_17_departments/met_metadata.csv,unknown,7th c. CE,other
