objectID,title,department,primaryImage,primaryImageSmall,has_named_creator,inferred_gender,selection_stage
329081,"Proto-Cuneiform tablet with seal impressions: administrative account of barley distribution with cylinder seal impression of a male figure, hunting dogs, and boars",Ancient West Asian Art,https://images.metmuseum.org/CRDImages/an/original/DP293243.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP293243.jpg,False,,unknown_or_unattributed
325869,"Furniture plaque carved in relief with two addorsed, ram-headed sphinxes",Ancient West Asian Art,https://images.metmuseum.org/CRDImages/an/original/DP115141.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP115141.jpg,False,,unknown_or_unattributed
327830,Panel with the god Zeus/Serapis/Ohrmazd and worshiper,Ancient West Asian Art,https://images.metmuseum.org/CRDImages/an/original/DT918.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DT918.jpg,False,,unknown_or_unattributed
325584,Helmet with divine figures beneath a bird with outstretched wings,Ancient West Asian Art,https://images.metmuseum.org/CRDImages/an/original/DT874.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DT874.jpg,False,,unknown_or_unattributed
324599,Incised furniture plaque with two ibexes flanking a stylized palmette tree,Ancient West Asian Art,https://images.metmuseum.org/CRDImages/an/original/DP110594.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP110594.jpg,False,,unknown_or_unattributed
324291,Vessel terminating in the forepart of a fantastic leonine creature,Ancient West Asian Art,https://images.metmuseum.org/CRDImages/an/original/DP-19135-003.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-19135-003.jpg,False,,unknown_or_unattributed
325571,Openwork furniture plaque with the head of a feline,Ancient West Asian Art,https://images.metmuseum.org/CRDImages/an/original/DP110696.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP110696.jpg,False,,unknown_or_unattributed
326893,Openwork stamp seal: figure holding snakes,Ancient West Asian Art,https://images.metmuseum.org/CRDImages/an/original/ANE56.jpg,https://images.metmuseum.org/CRDImages/an/web-large/ANE56.jpg,False,,unknown_or_unattributed
323525,Furniture plaque: hawk,Ancient West Asian Art,https://images.metmuseum.org/CRDImages/an/original/DP110477.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP110477.jpg,False,,unknown_or_unattributed
325838,Bowl,Ancient West Asian Art,https://images.metmuseum.org/CRDImages/an/original/ME66_205_1.jpg,https://images.metmuseum.org/CRDImages/an/web-large/ME66_205_1.jpg,False,,unknown_or_unattributed
327799,Stamp seal,Ancient West Asian Art,https://images.metmuseum.org/CRDImages/an/original/DP-13441-023.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-13441-023.jpg,False,,unknown_or_unattributed
323588,Furniture plaque: wing of a hawk,Ancient West Asian Art,https://images.metmuseum.org/CRDImages/an/original/DP110477.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP110477.jpg,False,,unknown_or_unattributed
12791,Gabriel Manigault,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/DP239227.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DP239227.jpg,True,male,named_attribution
326456,Bulla,Ancient West Asian Art,https://images.metmuseum.org/CRDImages/an/original/DP-40308-001.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-40308-001.jpg,False,,unknown_or_unattributed
323523,Furniture plaque: deer,Ancient West Asian Art,https://images.metmuseum.org/CRDImages/an/original/DP110474.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP110474.jpg,False,,unknown_or_unattributed
891628,Dish: The Walls and Hanging Gardens of Babylon,Ancient West Asian Art,https://images.metmuseum.org/CRDImages/an/original/DP-33383-001.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-33383-001.jpg,False,,unknown_or_unattributed
322272,Stamp seal with a knob handle: bird of prey with two horned animals caught in its talons,Ancient West Asian Art,https://images.metmuseum.org/CRDImages/an/original/DP-13441-018.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-13441-018.jpg,False,,unknown_or_unattributed
323587,Furniture plaque: hawk,Ancient West Asian Art,https://images.metmuseum.org/CRDImages/an/original/DP110477.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP110477.jpg,False,,unknown_or_unattributed
639782,War club,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/DP-15301-006.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DP-15301-006.jpg,False,,unknown_or_unattributed
